| Name                                                                                  |   Base Sampling |   Base Transfer |   Base Training |   Opt Sampling |   Opt Transfer |   Opt Training |   Base max |   Base min |   Opt max |   Opt min |   Ratio(%) |
| amazon-computers_gcn_0.01_graphsage_pin_memory_False_num_workers_0_non_blocking_False |       0.0101716 |      0.00360723 |       0.013914  |     0.00313691 |     0.00853374 |     0.00879335 |   0.476923 | 0.0123062  | 0.0690508 | 0.014014  |  26.1036   |
| amazon-computers_gcn_0.03_graphsage_pin_memory_False_num_workers_0_non_blocking_False |       0.027234  |      0.00605168 |       0.0166085 |     0.0124094  |     0.0193706  |     0.0337194  |   0.204531 | 0.0247765  | 0.102601  | 0.0245585 | -31.2766   |
| amazon-computers_gcn_0.06_graphsage_pin_memory_False_num_workers_0_non_blocking_False |       0.0453777 |      0.0115801  |       0.0279203 |     0.0448396  |     0.0381832  |     0.0297478  |   0.236338 | 0.0536826  | 0.179155  | 0.0754642 | -32.8616   |
| amazon-computers_gcn_0.1_graphsage_pin_memory_False_num_workers_0_non_blocking_False  |       0.0508374 |      0.0141129  |       0.0316762 |     0.0436161  |     0.0383582  |     0.0342223  |   0.277356 | 0.00322962 | 0.170949  | 0.0521803 | -20.2532   |
| amazon-computers_gcn_0.25_graphsage_pin_memory_False_num_workers_0_non_blocking_False |       0.11092   |      0.0174604  |       0.0436014 |     0.0357565  |     0.0552956  |     0.0822601  |   0.583453 | 0.0990689  | 0.259709  | 0.101999  |  -0.773518 |
| amazon-computers_gcn_0.5_graphsage_pin_memory_False_num_workers_0_non_blocking_False  |       0.289425  |      0.0283631  |       0.0543685 |     0.0825679  |     0.0505833  |     0.121551   |   0.957235 | 0.150407   | 0.393681  | 0.0961339 |  31.5605   |
| amazon-computers_gcn_0.01_cluster_pin_memory_False_num_workers_0_non_blocking_False |      0.00340281 |     0.000312016 |      0.00974976 |    5.29575e-05 |    9.36532e-05 |     0.00676204 |  0.49387   | 0.00775051 | 0.00865149 | 0.00633454 |    48.6902 |
| amazon-computers_gcn_0.03_cluster_pin_memory_False_num_workers_0_non_blocking_False |      0.0102078  |     0.000545589 |      0.00440094 |    0.00491444  |    9.70469e-05 |     0.00700428 |  0.0726483 | 0.00726438 | 0.0230782  | 0.00575256 |    20.7109 |
| amazon-computers_gcn_0.06_cluster_pin_memory_False_num_workers_0_non_blocking_False |      0.0243058  |     0.000821333 |      0.00607286 |    0.00938008  |    0.000148769 |     0.0121716  |  0.130102  | 0.0173988  | 0.114038   | 0.008008   |    30.447  |
| amazon-computers_gcn_0.1_cluster_pin_memory_False_num_workers_0_non_blocking_False  |      0.0505193  |     0.00083056  |      0.00800663 |    0.0155378   |    0.000190258 |     0.0148203  |  0.236415  | 0.0361829  | 0.190263   | 0.0086081  |    48.5341 |
| amazon-computers_gcn_0.25_cluster_pin_memory_False_num_workers_0_non_blocking_False |      0.179459   |     0.00182176  |      0.0135096  |    0.0180348   |    0.000143418 |     0.0145994  |  0.450388  | 0.0869739  | 0.210311   | 0.0129542  |    83.1728 |
| amazon-computers_gcn_0.5_cluster_pin_memory_False_num_workers_0_non_blocking_False  |      0.693721   |     0.00696813  |      0.0333885  |    0.0012892   |    0.000197401 |     0.0296803  |  1.45419   | 0.559295   | 0.0953238  | 0.0182481  |    95.7543 |
| flickr_gat_0.01_cluster_pin_memory_False_num_workers_0_non_blocking_False   |       0.0117647 |      0.0020759  |       0.0220305 |    0.00283204  |    0.000365415 |      0.0143064 |   0.716125 |  0.0115726 | 0.0373638 | 0.00808239 |  51.2035   |
| flickr_gat_0.01_graphsage_pin_memory_False_num_workers_0_non_blocking_False |       0.0863396 |      0.0398385  |       0.0518912 |    0.0794036   |    0.0426722   |      0.0567479 |   0.559993 |  0.0423071 | 0.341301  | 0.085427   |  -0.423699 |
| flickr_gat_0.03_cluster_pin_memory_False_num_workers_0_non_blocking_False   |       0.0137445 |      0.0012293  |       0.0112584 |    0.00167366  |    0.000108817 |      0.0140038 |   0.126723 |  0.0129352 | 0.0346787 | 0.0111544  |  39.8208   |
| flickr_gat_0.03_graphsage_pin_memory_False_num_workers_0_non_blocking_False |       0.0887256 |      0.0471734  |       0.0748453 |    0.0849647   |    0.0995067   |      0.0800624 |   0.723632 |  0.0949287 | 0.324876  | 0.192384   | -25.5235   |
| flickr_gat_0.06_cluster_pin_memory_False_num_workers_0_non_blocking_False   |       0.0310966 |      0.00285135 |       0.01484   |    0.00722946  |    0.000178823 |      0.0196069 |   0.205204 |  0.0296373 | 0.0550745 | 0.0122557  |  44.6272   |
| flickr_gat_0.06_graphsage_pin_memory_False_num_workers_0_non_blocking_False |       0.144728  |      0.0627497  |       0.120151  |    0.0575248   |    0.226716    |      0.12038   |   1.09346  |  0.223831  | 0.472546  | 0.312784   | -23.4997   |
| flickr_gat_0.1_cluster_pin_memory_False_num_workers_0_non_blocking_False    |       0.0511592 |      0.00466069 |       0.0157645 |    0.0222253   |    0.000169082 |      0.0191503 |   0.21249  |  0.0509477 | 0.199601  | 0.014817   |  41.9641   |
| flickr_gat_0.1_graphsage_pin_memory_False_num_workers_0_non_blocking_False  |       0.176301  |      0.0642753  |       0.167792  |    0.0751377   |    0.264221    |      0.182607  |   1.83306  |  0.357553  | 0.643371  | 0.464138   | -27.8176   |
| flickr_gat_0.25_cluster_pin_memory_False_num_workers_0_non_blocking_False   |       0.478901  |      0.0234425  |       0.0489043 |    0.0774562   |    0.00124237  |      0.0528692 |   1.0396   |  0.16814   | 0.727923  | 0.0313518  |  76.1327   |
