| Name                                                                                   |   Base Sampling |   Base Transfer |   Base Training |   Opt Sampling |   Opt Transfer |   Opt Training |   Base max |   Base min |   Opt max |    Opt min |   Ratio(%) |
| flickr_gcn_None_cluster_pin_memory_False_num_workers_0_non_blocking_False              |      0.00854763 |     0.000862656 |      0.018449   |    0.00568741  |    0.000141773 |     0.00991263 |  0.85131   |  0.0107131 | 0.0396385 | 0.00591898 |   43.4952  |
| flickr_gcn_None_graphsage_pin_memory_False_num_workers_0_non_blocking_False            |      0.0854621  |     0.0386872   |      0.0406517  |    0.091273    |    0.0514333   |     0.0437758  |  0.53045   |  0.0336115 | 0.276543  | 0.0879681  |  -13.1559  |
| flickr_ggnn_None_cluster_pin_memory_False_num_workers_0_non_blocking_False             |      0.0128059  |     0.0010094   |      0.0313075  |    7.8462e-05  |    0.00021321  |     0.0310751  |  0.161888  |  0.0306888 | 0.0484354 | 0.0251667  |   30.4858  |
| flickr_ggnn_None_graphsage_pin_memory_False_num_workers_0_non_blocking_False           |      0.0580512  |     0.0349313   |      0.160731   |    0.0679967   |    0.0549718   |     0.162787   |  0.547522  |  0.0549853 | 0.399701  | 0.122023   |  -12.6291  |
| flickr_gat_None_cluster_pin_memory_False_num_workers_0_non_blocking_False              |      0.00807855 |     0.000944316 |      0.00911828 |    5.27668e-05 |    0.000122197 |     0.0108807  |  0.0553179 |  0.0105476 | 0.0157773 | 0.00856209 |   39.0574  |
| flickr_gat_None_graphsage_pin_memory_False_num_workers_0_non_blocking_False            |      0.0738167  |     0.0353085   |      0.0458429  |    0.0831321   |    0.0506765   |     0.0573373  |  0.516618  |  0.033103  | 0.410657  | 0.0917933  |  -23.3453  |
| flickr_gaan_None_cluster_pin_memory_False_num_workers_0_non_blocking_False             |      0.00867559 |     0.000865062 |      0.0159015  |    6.35115e-05 |    0.000275583 |     0.0193864  |  0.135732  |  0.0156138 | 0.0353024 | 0.013123   |   22.4691  |
| flickr_gaan_None_graphsage_pin_memory_False_num_workers_0_non_blocking_False           |      0.0746294  |     0.0334082   |      0.0431453  |    0.0901871   |    0.0484919   |     0.0521084  |  0.448793  |  0.0512083 | 0.349818  | 0.0742931  |  -26.1964  |
| amazon-computers_gcn_None_cluster_pin_memory_False_num_workers_0_non_blocking_False    |      0.00894477 |     0.000598704 |      0.00630748 |    0.00329167  |    0.000139596 |     0.00854918 |  0.0455923 |  0.007936  | 0.0304222 | 0.00643826 |   24.4182  |
| amazon-computers_gcn_None_graphsage_pin_memory_False_num_workers_0_non_blocking_False  |      0.0756186  |     0.0187693   |      0.03818    |    0.0587969   |    0.0442586   |     0.0404163  |  0.444573  |  0.0721741 | 0.206932  | 0.0957894  |   -8.22522 |
| amazon-computers_ggnn_None_cluster_pin_memory_False_num_workers_0_non_blocking_False   |      0.00722815 |     0.000436865 |      0.0107104  |    0.00219915  |    0.000246792 |     0.0109763  |  0.0472381 |  0.013114  | 0.0340228 | 0.00946164 |   26.9556  |
| amazon-computers_ggnn_None_graphsage_pin_memory_False_num_workers_0_non_blocking_False |      0.0624817  |     0.0164087   |      0.125394   |    0.0504664   |    0.0443635   |     0.127175   |  0.4039    |  0.121345  | 0.315358  | 0.150011   |   -8.67469 |
| amazon-computers_gat_None_cluster_pin_memory_False_num_workers_0_non_blocking_False    |      0.00640203 |     0.000429503 |      0.00902602 |    0.000105902 |    0.00014005  |     0.0115366  |  0.0482075 |  0.0116644 | 0.0191875 | 0.00872564 |   25.6977  |
| amazon-computers_gat_None_graphsage_pin_memory_False_num_workers_0_non_blocking_False  |      0.0725576  |     0.0184018   |      0.0497436  |    0.0534514   |    0.0452559   |     0.0546801  |  0.510857  |  0.078274  | 0.223918  | 0.105697   |   -9.015   |
| amazon-computers_gaan_None_cluster_pin_memory_False_num_workers_0_non_blocking_False   |      0.00587778 |     0.000402238 |      0.0139041  |    6.22495e-05 |    0.000291141 |     0.0180642  |  0.0604484 |  0.0148284 | 0.0404634 | 0.0116632  |    8.75207 |
| amazon-computers_gaan_None_graphsage_pin_memory_False_num_workers_0_non_blocking_False |      0.0678024  |     0.016536    |      0.0589158  |    0.079062    |    0.0329602   |     0.058858   |  0.406575  |  0.0631921 | 0.268181  | 0.101929   |  -19.2846  |
